"filename", "language", "PHP", "comment", "blank", "total"
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\config.php", "PHP", 23, 26, 7, 56
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\ancestor.php", "PHP", 7, 0, 1, 8
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\home.php", "PHP", 5, 0, 0, 5
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\identityList.php", "PHP", 8, 0, 0, 8
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\login.php", "PHP", 66, 1, 10, 77
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\logout.php", "PHP", 14, 0, 0, 14
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\pictureList.php", "PHP", 8, 0, 1, 9
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\router.php", "PHP", 22, 15, 5, 42
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\controller\test.php", "PHP", 34, 7, 11, 52
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\inc\footer.inc.php", "PHP", 40, 0, 2, 42
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\inc\header.inc.php", "PHP", 4, 0, 0, 4
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\inc\navbar.inc.php", "PHP", 35, 0, 2, 37
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\model\router.php", "PHP", 499, 207, 50, 756
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\model\test.php", "PHP", 7, 0, 0, 7
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\404.php", "PHP", 4, 0, 0, 4
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\ancestor.php", "PHP", 116, 0, 6, 122
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\home.php", "PHP", 78, 0, 6, 84
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\identityList.php", "PHP", 87, 0, 5, 92
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\login.php", "PHP", 4, 0, 0, 4
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\logout.php", "PHP", 3, 0, 0, 3
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\pictureList.php", "PHP", 124, 0, 7, 131
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\router.php", "PHP", 47, 1, 5, 53
"c:\Users\cyril HAVRET\Documents\PROJETS\GENEALOGIE CMS\WWW\src\view\test.php", "PHP", 27, 3, 9, 39
"Total", "-", 1262, 260, 127, 1649
